campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2,total
All Campuses,, , ,2023,7,9,0,20831.11,57.07,9936.89,3.9,194.22,35.5,5952,1487937,569,9985,2495549,954,326,81529,31,16263,4065016,81495,11.281,1,,20831.11
All Campuses,, , ,2023,7,9,1,20550.51,75.66,9587.54,4.04,189.21,34.58,5872,1467894,561,9634,2407814,920,338,84596,32,15844,3960304,78673,11.118,1,,20550.51
All Campuses,, , ,2023,7,9,2,19909.3,1.43,9337.62,3.87,183.85,33.6,5688,1422094,543,9383,2345049,896,324,80986,31,15395,3848128,76612,10.81,1,,19909.3
All Campuses,, , ,2023,7,9,3,19851.4,100.97,9258.02,3.85,182.68,33.39,5672,1417958,542,9303,2325059,889,322,80498,31,15296,3823514,75970,10.723,1,,19851.4
All Campuses,, , ,2023,7,9,4,20081.35,41.83,9576.87,3.88,187.32,34.24,5738,1434382,548,9623,2405136,919,325,81206,31,15685,3920724,78543,10.88,1,,20081.35
All Campuses,, , ,2023,7,9,5,20917.75,85.74,10210.3,3.62,197.52,36.1,5976,1494125,571,10259,2564215,980,303,75701,29,16539,4134041,83691,11.312,1,,20917.75
All Campuses,, , ,2023,7,9,6,21498.98,312.05,10683.52,3.57,205.13,37.49,6143,1535642,587,10735,2683058,1026,299,74818,29,17177,4293518,87532,11.503,1,,21498.98
All Campuses,, , ,2023,7,9,7,22071.86,1954.18,11351.37,3.55,215.08,39.31,6306,1576562,602,11406,2850782,1090,297,74337,28,18010,4501681,92930,10.926,1,,22071.86
All Campuses,, , ,2023,7,9,8,22981.13,4651.71,12107.77,3.48,227.19,41.52,6566,1641510,627,12166,3040746,1162,291,72807,28,19023,4755063,99068,9.952,1,,22981.13
All Campuses,, , ,2023,7,9,9,23721.92,6780.34,12864.11,3.62,238.93,43.67,6778,1694423,648,12926,3230692,1235,303,75691,29,20007,5000806,105190,9.2,1,,23721.92
All Campuses,, , ,2023,7,9,10,25251.57,8793.44,13333.33,3.38,249.54,45.61,7215,1803684,689,13398,3348533,1280,283,70671,27,20895,5222888,109091,8.937,1,,25251.57
All Campuses,, , ,2023,7,9,11,25424.07,10076.78,13743.26,3.57,255.24,46.65,7264,1816006,694,13809,3451483,1319,299,74790,29,21373,5342279,112387,8.334,1,,25424.07
All Campuses,, , ,2023,7,9,12,25852.35,10480.75,13924.08,3.59,258.89,47.32,7386,1846597,706,13991,3496892,1337,300,75065,29,21678,5418555,113874,8.346,1,,25852.35
All Campuses,, , ,2023,7,9,13,26114.95,10437.23,14142.91,3.69,262.51,47.98,7461,1865354,713,14211,3551850,1358,309,77204,30,21981,5494408,115650,8.514,1,,26114.95
All Campuses,, , ,2023,7,9,14,26263.42,9780.4,14268.97,3.37,264.21,48.29,7504,1875959,717,14338,3583510,1370,282,70432,27,22123,5529901,116673,8.951,1,,26263.42
All Campuses,, , ,2023,7,9,15,25993.52,8603.03,14477.04,3.51,265.93,48.6,7427,1856681,710,14547,3635763,1390,294,73414,28,22267,5565858,118312,9.441,1,,25993.52
All Campuses,, , ,2023,7,9,16,25895.08,7030.09,14626.02,3.37,267.24,48.84,7399,1849649,707,14696,3673178,1404,282,70572,27,22377,5593399,119494,10.244,1,,25895.08
All Campuses,, , ,2023,7,9,17,25829.99,4847.71,14576.88,3.35,266.41,48.69,7380,1845000,705,14647,3660839,1399,281,70165,27,22308,5576004,119095,11.393,1,,25829.99
All Campuses,, , ,2023,7,9,18,25296,1853.43,14376.45,3.37,262.2,47.92,7227,1806858,691,14446,3610501,1380,282,70607,27,21956,5487965,117440,12.729,1,,25296
All Campuses,, , ,2023,7,9,19,24655.02,143.43,13777.33,3.37,252.83,46.21,7044,1761074,673,13844,3460038,1323,282,70591,27,21170,5291703,112585,13.308,1,,24655.02
All Campuses,, , ,2023,7,9,20,24283.96,7.67,13140.05,3.14,243.68,44.54,6938,1734569,663,13203,3299992,1261,263,65791,25,20405,5100353,107452,13.181,1,,24283.96
All Campuses,, , ,2023,7,9,21,23684.35,89.16,12425.46,3.2800000000000002,233.2,42.62,6767,1691740,647,12485,3120531,1193,274,68558,26,19527,4880829,101677,12.812,1,,23684.35
All Campuses,, , ,2023,7,9,22,25472.89,2.92,11691.6,3.14,230.36,42.1,7278,1819493,695,11748,2936228,1122,263,65693,25,19289,4821414,95978,13.833,1,,25472.89
All Campuses,, , ,2023,7,9,23,26108.67,51.17,11085.1,3.18,225.29,41.18,7460,1864905,713,11138,2783912,1064,266,66541,25,18864,4715358,91187,14.145,1,,26108.67
